,name,rating,reviews,salary,interviews,jobs
373,Adani Group,3.8,2.4k,11.1k,298,879
374,Hero FinCorp,3.9,2.4k,5.8k,124,31
375,Paras Hospital,4.1,2.4k,3.2k,99,34
376,Intellect Design Arena,3.6,2.4k,13.7k,182,16
377,Datamatics Global Services,3.3,2.4k,11.7k,184,82
378,Mahindra Rural Housing Finance,4.0,2.4k,4.8k,104,15
379,Patanjali Ayurved,3.9,2.4k,5.7k,137,--
380,Mahindra Holidays & Resorts,3.5,2.4k,5.9k,131,51
381,Statestreet HCL Services,3.4,2.4k,13.2k,220,--
382,TaskUs,3.0,2.4k,9.6k,229,203
383,Cadila Pharmaceuticals,3.2,2.4k,8.1k,159,74
384,3i Infotech,3.4,2.4k,10.7k,167,71
385,Syngene International,3.8,2.4k,12.7k,191,5
386,Taj Hotels Resorts and Palaces,4.2,2.4k,4.9k,163,350
387,Aditya Birla Group,4.1,2.4k,10.1k,243,1
388,Axis Direct,3.6,2.4k,4.6k,88,44
389,Capgemini Engineering,3.3,2.4k,13.9k,401,--
390,Cholamandalam MS General Insurance,3.7,2.4k,5.9k,115,--
391,Info Edge,3.9,2.4k,11.3k,381,378
392,Bureau Veritas,3.8,2.4k,8.3k,145,44
393,Delhi Public School,3.7,2.4k,5.3k,160,142
394,RMSI,3.5,2.3k,8.9k,195,6
395,KocharTech,3.6,2.3k,3.8k,83,26
396,Cybage,3.8,2.3k,17.2k,213,22
397,Aavas Financiers,3.9,2.3k,5.7k,122,61
398,GAO Tek,4.4,2.3k,264,614,--
399,Xoriant,4.0,2.3k,11.6k,235,31
400,Straive,3.3,2.3k,10.5k,224,55
401,Sopra Steria,3.9,2.3k,14.2k,184,79
402,Kia India,3.9,2.3k,8.2k,180,81
403,Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,6.3k,333,15
404,Newgen Software Technologies,4.1,2.3k,11.7k,206,53
405,Lodha,4.2,2.3k,8.8k,175,212
406,Apollo Pharmacy,3.7,2.3k,6.9k,190,1k
407,Lifestyle,4.2,2.3k,6.7k,84,28
408,GVK Emergency Management and Research Institute,3.6,2.3k,4.6k,119,70
409,Eureka Forbes,3.6,2.3k,5.6k,92,9
410,Sobha,3.8,2.3k,8.3k,165,--
411,TCE,3.8,2.3k,9.7k,297,53
412,SBI Securities,3.6,2.3k,6.7k,189,64
413,Bharat Petroleum,4.2,2.3k,7.4k,189,--
414,Team Computers,3.6,2.3k,8.6k,201,171
415,Unacademy,2.9,2.3k,10.2k,239,39
416,Radisson Hotels,4.0,2.2k,5.1k,105,418
417,Endurance Technologies Limited,4.0,2.2k,7.8k,138,29
418,Myntra,3.8,2.2k,10.7k,352,9
419,Panasonic Life Solutions India,3.9,2.2k,6.8k,98,13
420,Star Union Dai-ichi Life Insurance,3.8,2.2k,5.3k,138,16
421,Daikin Airconditioning India Pvt. Ltd.,4.1,2.2k,7.9k,214,5
422,AWL Agri Business,4.1,2.2k,6.9k,137,12
423,BNP Paribas,3.7,2.2k,18.8k,217,25
424,Bharti AXA Life Insurance,3.6,2.2k,5.3k,154,71
